2024-05-08;16:49:17.291;[0] PING;16:49:17.291;[0] PONG ([0] PING) (2)

2024-05-08;16:49:17.460;[0] PING;16:49:17.460;[1] PONG ([0] PING) (1)

2024-05-08;16:49:18.134;[1] PING;16:49:18.134;(проигнорировано)
2024-05-08;16:49:18.724;[1] PING;16:49:18.724;[2] PONG ([1] PING) (1)

2024-05-08;16:49:19.309;[2] PING;16:49:19.309;[3] PONG ([2] PING) (1)

2024-05-08;16:49:20.502;[3] PING;16:49:20.502;[4] PONG ([3] PING) (1)

2024-05-08;16:49:20.550;;16:49:20.550;[5] keepalive
2024-05-08;16:49:20.550;;16:49:20.550;[5] keepalive
2024-05-08;16:49:21.384;[1] PING;16:49:21.384;[5] PONG ([1] PING) (2)

2024-05-08;16:49:22.165;[2] PING;16:49:22.165;[6] PONG ([2] PING) (2)

2024-05-08;16:49:23.765;[4] PING;16:49:23.765;[7] PONG ([4] PING) (1)

2024-05-08;16:49:25.215;[3] PING;16:49:25.215;[8] PONG ([3] PING) (2)

2024-05-08;16:49:25.551;;16:49:25.551;[9] keepalive
2024-05-08;16:49:25.552;;16:49:25.552;[9] keepalive
2024-05-08;16:49:25.882;[5] PING;16:49:25.882;[9] PONG ([5] PING) (1)

2024-05-08;16:49:26.670;[4] PING;16:49:26.670;(проигнорировано)
2024-05-08;16:49:27.477;[6] PING;16:49:27.477;[10] PONG ([6] PING) (1)

2024-05-08;16:49:28.794;[7] PING;16:49:28.794;[11] PONG ([7] PING) (1)

2024-05-08;16:49:29.854;[8] PING;16:49:29.854;[12] PONG ([8] PING) (1)

2024-05-08;16:49:30.150;[4] PING;16:49:30.150;[13] PONG ([4] PING) (2)

2024-05-08;16:49:30.553;;16:49:30.553;[14] keepalive
2024-05-08;16:49:30.553;;16:49:30.553;[14] keepalive
2024-05-08;16:49:30.877;[9] PING;16:49:30.877;[14] PONG ([9] PING) (1)

2024-05-08;16:49:32.468;[5] PING;16:49:32.468;[15] PONG ([5] PING) (2)

2024-05-08;16:49:33.111;[10] PING;16:49:33.111;[16] PONG ([10] PING) (1)

2024-05-08;16:49:33.158;[6] PING;16:49:33.158;[17] PONG ([6] PING) (2)

2024-05-08;16:49:34.588;[11] PING;16:49:34.588;[18] PONG ([11] PING) (1)

2024-05-08;16:49:35.508;[7] PING;16:49:35.508;[19] PONG ([7] PING) (2)

2024-05-08;16:49:35.554;;16:49:35.554;[20] keepalive
2024-05-08;16:49:35.555;;16:49:35.555;[20] keepalive
2024-05-08;16:49:36.518;[12] PING;16:49:36.518;[20] PONG ([12] PING) (1)

2024-05-08;16:49:37.700;[13] PING;16:49:37.700;[21] PONG ([13] PING) (1)

2024-05-08;16:49:37.991;[8] PING;16:49:37.991;[22] PONG ([8] PING) (2)

2024-05-08;16:49:38.924;[9] PING;16:49:38.924;[23] PONG ([9] PING) (2)

2024-05-08;16:49:40.380;[14] PING;16:49:40.380;[24] PONG ([14] PING) (1)

2024-05-08;16:49:40.557;;16:49:40.557;[25] keepalive
2024-05-08;16:49:40.557;;16:49:40.557;[25] keepalive
2024-05-08;16:49:42.090;[15] PING;16:49:42.090;[25] PONG ([15] PING) (1)

2024-05-08;16:49:42.421;[10] PING;16:49:42.421;[26] PONG ([10] PING) (2)

2024-05-08;16:49:43.555;[11] PING;16:49:43.555;(проигнорировано)
2024-05-08;16:49:44.980;[16] PING;16:49:44.980;[27] PONG ([16] PING) (1)

2024-05-08;16:49:45.560;;16:49:45.560;[28] keepalive
2024-05-08;16:49:45.560;;16:49:45.560;[28] keepalive
2024-05-08;16:49:46.510;[17] PING;16:49:46.510;(проигнорировано)
2024-05-08;16:49:47.531;[11] PING;16:49:47.531;[28] PONG ([11] PING) (2)

2024-05-08;16:49:50.158;[17] PING;16:49:50.158;[29] PONG ([17] PING) (2)

2024-05-08;16:49:50.562;;16:49:50.562;[30] keepalive
2024-05-08;16:49:50.562;;16:49:50.562;[30] keepalive
2024-05-08;16:49:50.667;[12] PING;16:49:50.667;[30] PONG ([12] PING) (2)

2024-05-08;16:49:51.620;[18] PING;16:49:51.620;[31] PONG ([18] PING) (2)

2024-05-08;16:49:52.482;[13] PING;16:49:52.482;[32] PONG ([13] PING) (2)

2024-05-08;16:49:53.197;[19] PING;16:49:53.197;[33] PONG ([19] PING) (2)

2024-05-08;16:49:54.627;[14] PING;16:49:54.627;[34] PONG ([14] PING) (2)

2024-05-08;16:49:55.144;[20] PING;16:49:55.144;[35] PONG ([20] PING) (2)

2024-05-08;16:49:55.563;;16:49:55.563;[36] keepalive
2024-05-08;16:49:55.564;;16:49:55.564;[36] keepalive
2024-05-08;16:49:56.561;[21] PING;16:49:56.561;[36] PONG ([21] PING) (2)

2024-05-08;16:49:57.303;[15] PING;16:49:57.303;[37] PONG ([15] PING) (2)

2024-05-08;16:49:57.992;[22] PING;16:49:57.992;[38] PONG ([22] PING) (2)

2024-05-08;16:49:58.952;[16] PING;16:49:58.952;[39] PONG ([16] PING) (2)

2024-05-08;16:49:58.996;[23] PING;16:49:58.996;[40] PONG ([23] PING) (2)

2024-05-08;16:50:00.566;;16:50:00.566;[41] keepalive
2024-05-08;16:50:00.567;;16:50:00.567;[41] keepalive
2024-05-08;16:50:01.226;[17] PING;16:50:01.226;(проигнорировано)
2024-05-08;16:50:01.649;[24] PING;16:50:01.649;[41] PONG ([24] PING) (2)

2024-05-08;16:50:03.768;[25] PING;16:50:03.768;[42] PONG ([25] PING) (2)

2024-05-08;16:50:04.234;[17] PING;16:50:04.234;(проигнорировано)
2024-05-08;16:50:05.569;;16:50:05.569;[43] keepalive
2024-05-08;16:50:05.569;;16:50:05.569;[43] keepalive
2024-05-08;16:50:05.922;[26] PING;16:50:05.922;[43] PONG ([26] PING) (2)

2024-05-08;16:50:07.099;[27] PING;16:50:07.099;[44] PONG ([27] PING) (2)

2024-05-08;16:50:07.434;[17] PING;16:50:07.434;[45] PONG ([17] PING) (2)

2024-05-08;16:50:09.072;[18] PING;16:50:09.072;[46] PONG ([18] PING) (2)

2024-05-08;16:50:09.105;[28] PING;16:50:09.105;[47] PONG ([28] PING) (2)

2024-05-08;16:50:10.571;;16:50:10.571;[48] keepalive
2024-05-08;16:50:10.571;;16:50:10.571;[48] keepalive
2024-05-08;16:50:11.376;[19] PING;16:50:11.376;[48] PONG ([19] PING) (2)

2024-05-08;16:50:11.981;[29] PING;16:50:11.981;(проигнорировано)
2024-05-08;16:50:12.507;[20] PING;16:50:12.507;[49] PONG ([20] PING) (2)

2024-05-08;16:50:14.514;[21] PING;16:50:14.514;[50] PONG ([21] PING) (2)

2024-05-08;16:50:15.161;[29] PING;16:50:15.161;[51] PONG ([29] PING) (2)

2024-05-08;16:50:15.573;;16:50:15.573;[52] keepalive
2024-05-08;16:50:15.574;;16:50:15.574;[52] keepalive
2024-05-08;16:50:17.080;[30] PING;16:50:17.080;[52] PONG ([30] PING) (2)

2024-05-08;16:50:17.207;[22] PING;16:50:17.207;[53] PONG ([22] PING) (2)

2024-05-08;16:50:19.750;[23] PING;16:50:19.750;[54] PONG ([23] PING) (2)

2024-05-08;16:50:20.575;;16:50:20.575;[55] keepalive
2024-05-08;16:50:20.575;;16:50:20.575;[55] keepalive
2024-05-08;16:50:20.793;[31] PING;16:50:20.793;[55] PONG ([31] PING) (2)

2024-05-08;16:50:21.380;[24] PING;16:50:21.380;[56] PONG ([24] PING) (2)

2024-05-08;16:50:21.643;[32] PING;16:50:21.643;[57] PONG ([32] PING) (2)

